time	V(n010)
0.000000000000000e+00	-1.614409e-14
1.999999943436137e-09	1.668678e-09
1.999999943436138e-08	2.337738e-08
3.799999892528662e-08	3.838511e-08
5.599999841621186e-08	4.669187e-08
7.399999790713710e-08	4.829766e-08
9.199999739806233e-08	4.320248e-08
1.099999968889876e-07	3.140634e-08
1.279999963799128e-07	1.290922e-08
1.837432299242117e-07	-1.050767e-07
2.306904608235521e-07	-2.698824e-07
2.764048966165713e-07	-4.368541e-07
3.289401771279289e-07	-5.394616e-07
3.774494624936665e-07	-4.153083e-07
4.459766891483710e-07	2.964890e-07
5.375302423442294e-07	2.019446e-06
6.854536871271123e-07	3.029340e-06
9.419454873930692e-07	-1.126076e-05
1.232118857629667e-06	-6.084571e-05
1.585998682853616e-06	-1.527962e-04
2.064787736715409e-06	-2.618659e-04
2.751844654002962e-06	-3.380736e-04
3.904827802076372e-06	-3.564738e-04
5.958952939422074e-06	-2.966129e-04
8.907113177006166e-06	-1.293147e-04
1.222452916414903e-05	1.528586e-04
1.546134554849831e-05	5.281208e-04
1.856077784275521e-05	9.913107e-04
2.262878804422147e-05	1.754866e-03
2.794118947271479e-05	3.012442e-03
3.567455287249306e-05	5.351563e-03
4.581302858963159e-05	9.319702e-03
5.973207479232505e-05	1.642008e-02
7.792682234423071e-05	2.855289e-02
1.024611614545468e-04	4.995248e-02
1.347654637064245e-04	8.678558e-02
1.781528689818866e-04	1.513226e-01
2.357674917509884e-04	2.627395e-01
3.135913787370677e-04	4.575862e-01
4.185822305044834e-04	7.770293e-01
4.870801543570318e-04	9.940872e-01
5.279989047356961e-04	1.069195e+00
5.534613863708843e-04	1.031845e+00
5.779287305792984e-04	9.360854e-01
6.057647114177493e-04	8.191898e-01
6.313256327814892e-04	7.132654e-01
6.677904396058405e-04	5.642356e-01
7.147720459894426e-04	3.831168e-01
7.979839242985736e-04	7.971301e-02
9.346939872363011e-04	-4.076790e-01
1.000000000000000e-03	-6.408305e-01
1.000710460698701e-03	-6.423135e-01
1.002131382096104e-03	-6.433645e-01
1.003629696060259e-03	-6.398837e-01
1.005597922021744e-03	-6.282391e-01
1.007384511423272e-03	-6.133331e-01
1.010081513589311e-03	-5.877347e-01
1.012772951280023e-03	-5.611186e-01
1.018155826661449e-03	-5.071189e-01
1.024928136633215e-03	-4.392751e-01
1.038472756576749e-03	-3.045668e-01
1.065561996463816e-03	-3.901936e-02
1.119740476237951e-03	4.776271e-01
1.228097435786219e-03	1.475846e+00
1.302355520510220e-03	2.122157e+00
1.349633606333029e-03	2.458613e+00
1.377362161799216e-03	2.547945e+00
1.404400973806768e-03	2.526264e+00
1.430120989337992e-03	2.469367e+00
1.458452972713899e-03	2.406978e+00
1.459799138238550e-03	2.403672e+00
1.462491469287852e-03	2.397688e+00
1.466787804871091e-03	2.390006e+00
1.471496686822682e-03	2.384333e+00
1.474586705698415e-03	2.382391e+00
1.478540659265762e-03	2.381303e+00
1.482726039457321e-03	2.380753e+00
1.490135850287463e-03	2.380548e+00
1.497822826557437e-03	2.381019e+00
1.509673408197468e-03	2.382668e+00
1.521046047318428e-03	2.385165e+00
1.543177939944793e-03	2.392202e+00
1.573448511023185e-03	2.404606e+00
1.594290357981629e-03	2.414699e+00
1.614021598280731e-03	2.425631e+00
1.653484078878935e-03	2.451267e+00
1.732409040075343e-03	2.515946e+00
1.890258962468159e-03	2.634511e+00
1.967486282545488e-03	2.602562e+00
2.000000000000000e-03	2.516190e+00
2.000765618534794e-03	2.511732e+00
2.002296855604383e-03	2.503208e+00
2.003517320310470e-03	2.496979e+00
2.005268933044760e-03	2.488659e+00
2.007168110096247e-03	2.479673e+00
2.009516775182546e-03	2.468415e+00
2.012722356506431e-03	2.452934e+00
2.016900531605026e-03	2.432514e+00
2.023154098312720e-03	2.401412e+00
2.032273082159915e-03	2.354849e+00
2.046803406986875e-03	2.278921e+00
2.061203618896499e-03	2.203630e+00
2.075402450806437e-03	2.131111e+00
2.103800114626314e-03	1.992300e+00
2.157608463371727e-03	1.750000e+00
2.265225160862552e-03	1.341710e+00
2.480458555844204e-03	7.435512e-01
2.744180456326902e-03	2.992095e-01
2.927075820162935e-03	1.627282e-01
3.000000000000000e-03	1.519377e-01
3.003734242188358e-03	1.528359e-01
3.011202726565073e-03	1.543191e-01
3.021316107008583e-03	1.558678e-01
3.030502094219363e-03	1.569021e-01
3.048874068640923e-03	1.578482e-01
3.085618017484042e-03	1.555928e-01
3.159105915170281e-03	1.354267e-01
3.306081710542759e-03	4.399480e-02
3.537684815465454e-03	-2.094322e-01
3.833636544579906e-03	-6.732762e-01
4.000000000000000e-03	-9.924454e-01
4.030846443882257e-03	-1.053484e+00
4.092539331646769e-03	-1.159651e+00
4.215925107175794e-03	-1.300394e+00
4.462696658233845e-03	-1.385296e+00
4.716170815546024e-03	-1.250011e+00
4.953784978445603e-03	-9.526671e-01
5.000000000000000e-03	-8.747067e-01
5.007237834798724e-03	-8.607190e-01
5.021713504396173e-03	-8.333831e-01
5.049742677232545e-03	-7.822400e-01
5.078604605996446e-03	-7.323282e-01
5.136328463524248e-03	-6.418575e-01
5.251776178579854e-03	-4.932593e-01
5.482671608691064e-03	-2.853114e-01
5.737628276962278e-03	-1.655639e-01
5.969083116052426e-03	-1.378495e-01
6.000000000000000e-03	-1.408082e-01
6.003568149117317e-03	-1.416219e-01
6.010704447351948e-03	-1.430712e-01
6.023433062947727e-03	-1.452603e-01
6.035778290919594e-03	-1.469388e-01
6.060468746863329e-03	-1.488256e-01
6.109849658750799e-03	-1.472665e-01
6.208611482525739e-03	-1.242956e-01
6.406135130075619e-03	-2.111211e-02
6.644940425596874e-03	1.924669e-01
6.975498943439037e-03	5.903040e-01
7.000000000000000e-03	6.248662e-01
7.009254911116238e-03	6.388146e-01
7.027764733348714e-03	6.656831e-01
7.063657169317281e-03	7.139688e-01
7.118170433065295e-03	7.770455e-01
7.227196960561325e-03	8.699679e-01
7.405175291618874e-03	9.488634e-01
7.617906447509257e-03	9.329686e-01
7.921603963075846e-03	7.738028e-01
8.000000000000000e-03	7.083974e-01
8.015176029438745e-03	6.926443e-01
8.045528088316238e-03	6.621271e-01
8.106232206071221e-03	6.054069e-01
8.227640441581186e-03	5.079135e-01
8.470456912601119e-03	3.613142e-01
8.831186343674049e-03	2.164943e-01
9.000000000000001e-03	1.752160e-01
9.024530094827787e-03	1.711824e-01
9.073590284483360e-03	1.603289e-01
9.171710663794505e-03	1.268713e-01
9.341925771323596e-03	3.470314e-02
9.650828503155559e-03	-2.122335e-01
1.000000000000000e-02	-5.640325e-01
1.003651161994541e-02	-6.041778e-01
1.010953485983622e-02	-6.735495e-01
1.025558133961786e-02	-7.696080e-01
1.047388145238673e-02	-8.272923e-01
1.072800768600262e-02	-7.849393e-01
1.097446529634886e-02	-6.619344e-01
1.100000000000000e-02	-6.438201e-01
1.100728328233144e-02	-6.378593e-01
1.102184984699431e-02	-6.262741e-01
1.105098297632006e-02	-6.042287e-01
1.109264663021983e-02	-5.754012e-01
1.117597393801935e-02	-5.273914e-01
1.134262855361841e-02	-4.647894e-01
1.167593778481652e-02	-4.249033e-01
1.200000000000000e-02	-4.542702e-01
1.204077755296306e-02	-4.633437e-01
1.212233265888919e-02	-4.732525e-01
1.228544287074145e-02	-4.584652e-01
1.258151324468595e-02	-3.404606e-01
1.300000000000000e-02	-6.684751e-02
1.302318071249364e-02	-4.613746e-02
1.306954213748092e-02	-7.644418e-03
1.316226498745548e-02	5.888130e-02
1.327120049361114e-02	1.172201e-01
1.348907150592246e-02	1.785943e-01
1.380251083342336e-02	1.866273e-01
1.400000000000000e-02	1.518351e-01
1.403007928984945e-02	1.425322e-01
1.409023786954835e-02	1.269446e-01
1.421055502894616e-02	1.075054e-01
1.438717729649644e-02	1.062957e-01
1.470609429097704e-02	1.623876e-01
1.500000000000000e-02	2.559209e-01
